system:index,NDVI,NDVI_raw,date,sensor,site_key,site_label,.geo
1_2_0,0.3663360208267592,0.35135809403597346,2016-01-01,MODIS_MOD13Q1_250m,KHF_Warangal,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_1,0.3645900366837462,0.381313947617545,2016-01-17,MODIS_MOD13Q1_250m,KHF_Warangal,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_2,0.3596956667274865,0.3610980683977201,2016-02-02,MODIS_MOD13Q1_250m,KHF_Warangal,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_3,0.3500284673844205,0.3366749841671944,2016-02-18,MODIS_MOD13Q1_250m,KHF_Warangal,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_4,0.3521521532615579,0.352312349588347,2016-03-05,MODIS_MOD13Q1_250m,KHF_Warangal,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_5,0.35991432341144175,0.36746912602913223,2016-03-21,MODIS_MOD13Q1_250m,KHF_Warangal,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_6,0.3493685454929279,0.35996149461684607,2016-04-06,MODIS_MOD13Q1_250m,KHF_Warangal,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_7,0.35117472028710156,0.3206750158328055,2016-04-22,MODIS_MOD13Q1_250m,KHF_Warangal,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_8,0.33426089297023437,0.372887650411653,2016-05-08,MODIS_MOD13Q1_250m,KHF_Warangal,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_9,0.3374722609246359,0.30922001266624444,2016-05-24,MODIS_MOD13Q1_250m,KHF_Warangal,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_10,0.3664491198891575,0.3303091196960101,2016-06-09,MODIS_MOD13Q1_250m,KHF_Warangal,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_11,0.42175973842409525,0.459818227305218,2016-07-11,MODIS_MOD13Q1_250m,KHF_Warangal,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_12,0.4817849693787841,0.4751518682710576,2016-08-12,MODIS_MOD13Q1_250m,KHF_Warangal,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_13,0.4981090076065782,0.5103848125600767,2016-08-28,MODIS_MOD13Q1_250m,KHF_Warangal,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_14,0.5110769092320796,0.5087903419886003,2016-09-29,MODIS_MOD13Q1_250m,KHF_Warangal,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_15,0.4964990854177446,0.5140555731475618,2016-10-15,MODIS_MOD13Q1_250m,KHF_Warangal,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_16,0.4775650585152649,0.4666513411170717,2016-10-31,MODIS_MOD13Q1_250m,KHF_Warangal,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_17,0.43750196994890916,0.4519882612811613,2016-11-16,MODIS_MOD13Q1_250m,KHF_Warangal,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_18,0.4019990981872228,0.39386630744849443,2016-12-02,MODIS_MOD13Q1_250m,KHF_Warangal,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_19,0.37238786435951693,0.3601427258320127,2016-12-18,MODIS_MOD13Q1_250m,KHF_Warangal,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_20,0.3649481958726884,0.36315455979804356,2017-01-01,MODIS_MOD13Q1_250m,KHF_Warangal,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_21,0.37066503900362613,0.37154730198800895,2017-01-17,MODIS_MOD13Q1_250m,KHF_Warangal,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_22,0.3751043677093236,0.3772932552248259,2017-02-02,MODIS_MOD13Q1_250m,KHF_Warangal,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_23,0.39311496727886847,0.376472545915136,2017-02-18,MODIS_MOD13Q1_250m,KHF_Warangal,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_24,0.38504935613257335,0.4255791006966435,2017-03-06,MODIS_MOD13Q1_250m,KHF_Warangal,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_25,0.3744178066286679,0.3530964217859405,2017-03-22,MODIS_MOD13Q1_250m,KHF_Warangal,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_26,0.33965105552037156,0.3445778974034199,2017-04-07,MODIS_MOD13Q1_250m,KHF_Warangal,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_27,0.333729153472662,0.3212788473717543,2017-04-23,MODIS_MOD13Q1_250m,KHF_Warangal,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_28,0.31035972134262185,0.33533071564281186,2017-05-09,MODIS_MOD13Q1_250m,KHF_Warangal,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_29,0.41711498158509497,0.2744696010132995,2017-05-25,MODIS_MOD13Q1_250m,KHF_Warangal,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_30,0.47734279454688516,0.6415446280991736,2017-08-29,MODIS_MOD13Q1_250m,KHF_Warangal,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
